seed,n_anomalous,anomalous_mean_exposure,normal_mean_exposure
20,10,1604288.7118967194,2802640.236568539
21,10,1126319.3522913232,2868901.745122916
22,10,1408629.0025726997,2828953.36647506
23,10,1947932.335600904,2774638.20400573
24,10,1835340.5629835308,2784893.896559491
25,10,1969545.9455284781,2763935.2017312353
26,10,2117506.445791504,2748432.9759169724
27,10,1847843.5040758452,2785451.0586585696
28,10,1384969.2037734943,2836224.492201776
29,10,1370592.4351185134,2839630.1117898896
30,10,1925533.2535458035,2774409.8998181
31,10,1838328.018444182,2771051.3021356626
32,10,1974534.2924105756,2764812.470035453
33,10,1405614.1140139408,2828572.6473001745
34,10,2212362.3956163703,2740682.5723735928
35,10,1839549.2334083691,2778918.698928362
36,10,1357130.1017890666,2832298.3568628286
37,10,2234265.5971711674,2737313.0184933073
38,10,1619924.7225322472,2811297.0162895317
39,10,1880064.989027654,2770177.1035990515
