metric,baseline,learned_mean,baseline_mean,pct_improvement,wilcoxon_p
spearman,composite,0.9992621662166215,-0.04249384938493849,-2451.545413465883,1.7763568394002505e-15
precision_at_10,composite,0.9560000000000001,0.002,47700.0,2.166878293078159e-10
ndcg_at_10,composite,0.9999324857709827,0.12075025648028602,728.0996785578125,1.7763568394002505e-15
spearman,equal_weighted,0.9992621662166215,0.02143174317431743,4562.533318400716,1.7763568394002505e-15
precision_at_10,equal_weighted,0.9560000000000001,0.002,47700.0,2.166878293078159e-10
ndcg_at_10,equal_weighted,0.9999324857709827,0.12034554052735466,730.8845358035489,1.7763568394002505e-15
spearman,dependency_only,0.9992621662166215,0.14616525214481402,583.6523397685498,7.555220876380672e-10
precision_at_10,dependency_only,0.9560000000000001,0.132,624.2424242424242,2.6703779712375747e-10
ndcg_at_10,dependency_only,0.9999324857709827,0.7643560517422385,30.820248428959506,1.7763568394002505e-15
spearman,pagerank_only,0.9992621662166215,0.0,,7.500729198134526e-10
precision_at_10,pagerank_only,0.9560000000000001,0.13,635.3846153846155,2.7374069585567194e-10
ndcg_at_10,pagerank_only,0.9999324857709827,0.7590692091275438,31.73139863231726,1.7763568394002505e-15
spearman,reliability_only,0.9992621662166215,-0.1338181818181818,-846.7312383412253,1.7763568394002505e-15
precision_at_10,reliability_only,0.9560000000000001,0.01,9460.0,2.503868044749083e-10
ndcg_at_10,reliability_only,0.9999324857709827,0.1019737384530651,880.5784321923395,1.7763568394002505e-15
spearman,revenue_weighted_only,0.9992621662166215,0.9992621662166215,0.0,
precision_at_10,revenue_weighted_only,0.9560000000000001,0.9560000000000001,0.0,
ndcg_at_10,revenue_weighted_only,0.9999324857709827,0.9999324857709827,0.0,
spearman,random,0.9992621662166215,-0.02402712271227122,-4258.892340888885,1.7763568394002505e-15
precision_at_10,random,0.9560000000000001,0.07400000000000001,1191.8918918918919,3.586066610089716e-10
ndcg_at_10,random,0.9999324857709827,0.16977417020194996,488.97798444930805,1.7763568394002505e-15
