ml_method,metric,baseline,ml_mean,baseline_mean,pct_improvement,wilcoxon_p
gbt,spearman,composite,0.9995331533153313,-0.048144014401440144,-2176.131718017748,1.9073486328125e-06
gbt,precision_at_10,composite,0.9599999999999997,0.0,,5.0624468323505405e-05
gbt,ndcg_at_10,composite,0.9999207372612947,0.12071624063126471,728.323291076977,1.9073486328125e-06
gbt,spearman,equal_weighted,0.9995331533153313,0.011833183318331832,8346.866125760649,1.9073486328125e-06
gbt,precision_at_10,equal_weighted,0.9599999999999997,0.0,,5.0624468323505405e-05
gbt,ndcg_at_10,equal_weighted,0.9999207372612947,0.12030383915489376,731.1627827386917,1.9073486328125e-06
gbt,spearman,dependency_only,0.9995331533153313,0.14661426023015559,581.743475529775,8.844915021211902e-05
gbt,precision_at_10,dependency_only,0.9599999999999997,0.12500000000000003,667.9999999999997,5.571230130323712e-05
gbt,ndcg_at_10,dependency_only,0.9999207372612947,0.7640435142585627,30.872223715115265,1.9073486328125e-06
gbt,spearman,pagerank_only,0.9995331533153313,0.0,,8.794879347050152e-05
gbt,precision_at_10,pagerank_only,0.9599999999999997,0.12500000000000003,667.9999999999997,5.571230130323712e-05
gbt,ndcg_at_10,pagerank_only,0.9999207372612947,0.7588117739943985,31.774541662380173,1.9073486328125e-06
gbt,spearman,reliability_only,0.9995331533153313,-0.15508310831083105,-744.5145214087275,1.9073486328125e-06
gbt,precision_at_10,reliability_only,0.9599999999999997,0.015000000000000003,6299.999999999997,5.79451311960581e-05
gbt,ndcg_at_10,reliability_only,0.9999207372612947,0.10185810199653607,881.6801193637982,1.9073486328125e-06
gbt,spearman,revenue_weighted_only,0.9995331533153313,0.9991893189318931,0.03441133496160295,0.00010277255532145712
gbt,precision_at_10,revenue_weighted_only,0.9599999999999997,0.9649999999999999,-0.5181347150259188,0.31731050786291415
gbt,ndcg_at_10,revenue_weighted_only,0.9999207372612947,0.9999300232926676,-0.0009286681224220121,0.31731050786291415
gbt,spearman,propagation_only,0.9995331533153313,0.45555115511551153,119.41183599060028,1.9073486328125e-06
gbt,precision_at_10,propagation_only,0.9599999999999997,0.575,66.95652173913041,6.747222739529246e-05
gbt,ndcg_at_10,propagation_only,0.9999207372612947,0.9554919364691499,4.649835241553535,1.9073486328125e-06
gbt,spearman,random,0.9995331533153313,-0.01126072607260726,-8976.276244271554,1.9073486328125e-06
gbt,precision_at_10,random,0.9599999999999997,0.10500000000000002,814.2857142857139,6.706541605289322e-05
gbt,ndcg_at_10,random,0.9999207372612947,0.202533838740181,393.7055177945032,1.9073486328125e-06
gbt,spearman,composite_learned,0.9995331533153313,0.9991893189318931,0.03441133496160295,0.00010277255532145712
gbt,precision_at_10,composite_learned,0.9599999999999997,0.9649999999999999,-0.5181347150259188,0.31731050786291415
gbt,ndcg_at_10,composite_learned,0.9999207372612947,0.9999300232926676,-0.0009286681224220121,0.31731050786291415
gbt,spearman,mlp,0.9995331533153313,0.7295175517551755,37.01289995155215,1.9073486328125e-06
gbt,precision_at_10,mlp,0.9599999999999997,0.7449999999999999,28.85906040268455,0.00010551320528344735
gbt,ndcg_at_10,mlp,0.9999207372612947,0.9882168327149463,1.1843457993114777,1.9073486328125e-06
gbt,spearman,ltr,0.9995331533153313,0.9946888688868883,0.48701504359488823,8.844915021211902e-05
gbt,precision_at_10,ltr,0.9599999999999997,0.9249999999999998,3.783783783783776,0.0895550744136426
gbt,ndcg_at_10,ltr,0.9999207372612947,0.9998204364522456,0.010031882265280519,0.13649771056887278
gbt,spearman,gnn,0.9995331533153313,0.9729120912091208,2.736224818948056,1.9073486328125e-06
gbt,precision_at_10,gnn,0.9599999999999997,0.9099999999999999,5.494505494505476,0.007526315166457888
gbt,ndcg_at_10,gnn,0.9999207372612947,0.9995008752797767,0.04200716496626109,3.814697265625e-06
mlp,spearman,composite,0.7295175517551755,-0.048144014401440144,-1615.2819323960514,1.9073486328125e-06
mlp,precision_at_10,composite,0.7449999999999999,0.0,,5.2951922219039234e-05
mlp,ndcg_at_10,composite,0.9882168327149463,0.12071624063126471,718.6279058619099,1.9073486328125e-06
mlp,spearman,equal_weighted,0.7295175517551755,0.011833183318331832,6065.015212981745,1.9073486328125e-06
mlp,precision_at_10,equal_weighted,0.7449999999999999,0.0,,5.2951922219039234e-05
mlp,ndcg_at_10,equal_weighted,0.9882168327149463,0.12030383915489376,721.4341617498974,1.9073486328125e-06
mlp,spearman,dependency_only,0.7295175517551755,0.14661426023015559,397.5761229569186,1.9073486328125e-06
mlp,precision_at_10,dependency_only,0.7449999999999999,0.12500000000000003,495.99999999999983,5.659731221493238e-05
mlp,ndcg_at_10,dependency_only,0.9882168327149463,0.7640435142585627,29.34038628335511,1.9073486328125e-06
mlp,spearman,pagerank_only,0.7295175517551755,0.0,,1.9073486328125e-06
mlp,precision_at_10,pagerank_only,0.7449999999999999,0.12500000000000003,495.99999999999983,5.659731221493238e-05
mlp,ndcg_at_10,pagerank_only,0.9882168327149463,0.7588117739943985,30.23214275036292,1.9073486328125e-06
mlp,spearman,reliability_only,0.7295175517551755,-0.15508310831083105,-570.4042623991086,1.9073486328125e-06
mlp,precision_at_10,reliability_only,0.7449999999999999,0.015000000000000003,4866.666666666665,6.808599234788904e-05
mlp,ndcg_at_10,reliability_only,0.9882168327149463,0.10185810199653607,870.1897181910507,1.9073486328125e-06
mlp,spearman,revenue_weighted_only,0.7295175517551755,0.9991893189318931,-26.98905623460723,1.9073486328125e-06
mlp,precision_at_10,revenue_weighted_only,0.7449999999999999,0.9649999999999999,-22.797927461139896,9.835267406382042e-05
mlp,ndcg_at_10,revenue_weighted_only,0.9882168327149463,0.9999300232926676,-1.1714010285590688,1.9073486328125e-06
mlp,spearman,propagation_only,0.7295175517551755,0.45555115511551153,60.13954603412122,1.9073486328125e-06
mlp,precision_at_10,propagation_only,0.7449999999999999,0.575,29.565217391304337,0.00011086403896131185
mlp,ndcg_at_10,propagation_only,0.9882168327149463,0.9554919364691499,3.4249264694713664,1.9073486328125e-06
mlp,spearman,random,0.7295175517551755,-0.01126072607260726,-6578.423745070874,1.9073486328125e-06
mlp,precision_at_10,random,0.7449999999999999,0.10500000000000002,609.5238095238093,7.702352177585264e-05
mlp,ndcg_at_10,random,0.9882168327149463,0.202533838740181,387.92677750144895,1.9073486328125e-06
mlp,spearman,composite_learned,0.7295175517551755,0.9991893189318931,-26.98905623460723,1.9073486328125e-06
mlp,precision_at_10,composite_learned,0.7449999999999999,0.9649999999999999,-22.797927461139896,9.835267406382042e-05
mlp,ndcg_at_10,composite_learned,0.9882168327149463,0.9999300232926676,-1.1714010285590688,1.9073486328125e-06
mlp,spearman,gbt,0.7295175517551755,0.9995331533153313,-27.014171632481276,1.9073486328125e-06
mlp,precision_at_10,gbt,0.7449999999999999,0.9599999999999997,-22.39583333333332,0.00010551320528344735
mlp,ndcg_at_10,gbt,0.9882168327149463,0.9999207372612947,-1.1704832303412853,1.9073486328125e-06
mlp,spearman,ltr,0.7295175517551755,0.9946888688868883,-26.658719668639115,1.9073486328125e-06
mlp,precision_at_10,ltr,0.7449999999999999,0.9249999999999998,-19.459459459459456,5.606501361285427e-05
mlp,ndcg_at_10,ltr,0.9882168327149463,0.9998204364522456,-1.1605687695756075,1.9073486328125e-06
mlp,spearman,gnn,0.7295175517551755,0.9729120912091208,-25.017115282374398,1.9073486328125e-06
mlp,precision_at_10,gnn,0.7449999999999999,0.9099999999999999,-18.13186813186814,9.15663878085217e-05
mlp,ndcg_at_10,gnn,0.9882168327149463,0.9995008752797767,-1.128967752196496,1.9073486328125e-06
ltr,spearman,composite,0.9946888688868883,-0.048144014401440144,-2166.0696480207394,1.9073486328125e-06
ltr,precision_at_10,composite,0.9249999999999998,0.0,,3.55928164895585e-05
ltr,ndcg_at_10,composite,0.9998204364522456,0.12071624063126471,728.2402029949387,1.9073486328125e-06
ltr,spearman,equal_weighted,0.9946888688868883,0.011833183318331832,8305.927991886409,1.9073486328125e-06
ltr,precision_at_10,equal_weighted,0.9249999999999998,0.0,,3.55928164895585e-05
ltr,ndcg_at_10,equal_weighted,0.9998204364522456,0.12030383915489376,731.0794098307665,1.9073486328125e-06
ltr,spearman,dependency_only,0.9946888688868883,0.14661426023015559,578.4393737180969,1.9073486328125e-06
ltr,precision_at_10,dependency_only,0.9249999999999998,0.12500000000000003,639.9999999999997,7.74421643104407e-06
ltr,ndcg_at_10,dependency_only,0.9998204364522456,0.7640435142585627,30.85909608466264,1.9073486328125e-06
ltr,spearman,pagerank_only,0.9946888688868883,0.0,,8.844915021211902e-05
ltr,precision_at_10,pagerank_only,0.9249999999999998,0.12500000000000003,639.9999999999997,7.74421643104407e-06
ltr,ndcg_at_10,pagerank_only,0.9998204364522456,0.7588117739943985,31.76132352153332,1.9073486328125e-06
ltr,spearman,reliability_only,0.9946888688868883,-0.15508310831083105,-741.3908514738088,1.9073486328125e-06
ltr,precision_at_10,reliability_only,0.9249999999999998,0.015000000000000003,6066.666666666664,5.571230130323712e-05
ltr,ndcg_at_10,reliability_only,0.9998204364522456,0.10185810199653607,881.5816482485085,1.9073486328125e-06
ltr,spearman,revenue_weighted_only,0.9946888688868883,0.9991893189318931,-0.4504101434766765,1.9073486328125e-06
ltr,precision_at_10,revenue_weighted_only,0.9249999999999998,0.9649999999999999,-4.145077720207258,0.059346438791919864
ltr,ndcg_at_10,revenue_weighted_only,0.9998204364522456,0.9999300232926676,-0.010959450948486457,0.09730720520019531
ltr,spearman,propagation_only,0.9946888688868883,0.45555115511551153,118.34844621010143,1.9073486328125e-06
ltr,precision_at_10,propagation_only,0.9249999999999998,0.575,60.86956521739128,6.213752104642552e-05
ltr,ndcg_at_10,propagation_only,0.9998204364522456,0.9554919364691499,4.639337946367586,1.9073486328125e-06
ltr,spearman,random,0.9946888688868883,-0.01126072607260726,-8933.256954065862,1.9073486328125e-06
ltr,precision_at_10,random,0.9249999999999998,0.10500000000000002,780.9523809523806,5.704386730418252e-05
ltr,ndcg_at_10,random,0.9998204364522456,0.202533838740181,393.65599480630874,1.9073486328125e-06
ltr,spearman,composite_learned,0.9946888688868883,0.9991893189318931,-0.4504101434766765,1.9073486328125e-06
ltr,precision_at_10,composite_learned,0.9249999999999998,0.9649999999999999,-4.145077720207258,0.059346438791919864
ltr,ndcg_at_10,composite_learned,0.9998204364522456,0.9999300232926676,-0.010959450948486457,0.09730720520019531
ltr,spearman,gbt,0.9946888688868883,0.9995331533153313,-0.4846547022852689,8.844915021211902e-05
ltr,precision_at_10,gbt,0.9249999999999998,0.9599999999999997,-3.645833333333326,0.0895550744136426
ltr,ndcg_at_10,gbt,0.9998204364522456,0.9999207372612947,-0.010030875979612067,0.13649771056887278
ltr,spearman,mlp,0.9946888688868883,0.7295175517551755,36.34886048919954,1.9073486328125e-06
ltr,precision_at_10,mlp,0.9249999999999998,0.7449999999999999,24.16107382550335,5.606501361285427e-05
