method,n_seeds,spearman_mean,spearman_ci95,precision_at_10_mean,precision_at_10_ci95,ndcg_at_10_mean,ndcg_at_10_ci95
composite,20,-0.048144014401440144,0.0099713414494502,0.0,0.0,0.12071624063126471,0.003924218205974532
equal_weighted,20,0.011833183318331832,0.010918980215432606,0.0,0.0,0.12030383915489376,0.0038244155121704548
dependency_only,20,0.14661426023015559,0.0007660722862180661,0.12500000000000003,0.019470625648856144,0.7640435142585627,0.0007585920600212461
pagerank_only,20,0.0,0.0,0.12500000000000003,0.019470625648856144,0.7588117739943985,0.0007685009393335197
reliability_only,20,-0.15508310831083105,0.02093255608418828,0.015000000000000003,0.016055889229418856,0.10185810199653607,0.005312438688798906
revenue_weighted_only,20,0.9991893189318931,6.645406870014609e-05,0.9649999999999999,0.021447168872174682,0.9999300232926676,4.6423729512231215e-05
propagation_only,20,0.45555115511551153,0.004245938933586761,0.575,0.024110054683515444,0.9554919364691499,0.004235728383399507
random,20,-0.01126072607260726,0.040733803780093,0.10500000000000002,0.03007985862228814,0.202533838740181,0.0433558404074533
composite_learned,20,0.9991893189318931,6.645406870014609e-05,0.9649999999999999,0.021447168872174682,0.9999300232926676,4.6423729512231215e-05
gbt,20,0.9995331533153313,6.230210673890217e-05,0.9599999999999997,0.022028498288401435,0.9999207372612947,4.715567260449516e-05
mlp,20,0.7295175517551755,0.0049863653491261685,0.7449999999999999,0.02650676179869266,0.9882168327149463,0.0011671291643800858
ltr,20,0.9946888688868883,0.0001451267330996263,0.9249999999999998,0.019470625648856134,0.9998204364522456,7.842600911339245e-05
gnn,20,0.9729120912091208,0.000439377139810058,0.9099999999999999,0.013489645151589028,0.9995008752797767,8.005532945566414e-05
